term,rank difference, frequency democrats, frequency republicans
digitally, 0.7425498833894791, 0, 170
msgdata, 0.7424203161440788, 0, 170
80810, 0.7422907488986784, 0, 170
censored, 0.7402176729722726, 0, 166
rino, 0.7387924332728686, 0, 164
aliens, 0.7385332987820679, 0, 163
donotcomply, 0.7367193573464628, 0, 161
tranquilo, 0.734257579683856, 0, 158
httpggopcm6utemc, 0.7337393107022545, 0, 157
uncensored, 0.7306296968126458, 0, 152
schumers, 0.7294635916040425, 0, 151
expel, 0.7273905156776367, 0, 149
weld, 0.7272609484322363, 0, 148
ids, 0.7263539777144338, 0, 146
cd5, 0.7259652759782327, 0, 146
ladys, 0.7254470069966312, 0, 145
700match, 0.7249287380150298, 0, 144
bitly3cceq33, 0.7244104690334283, 0, 143
izquierda, 0.7216895568800208, 0, 141
controla, 0.7210417206530189, 0, 141
turno, 0.7203938844260172, 0, 141
igual, 0.7190982119720135, 0, 141
acquitted, 0.7168955688002073, 0, 138
democratcontrolled, 0.7165068670640062, 0, 137
courtpacking, 0.7163772998186059, 0, 137
recuperemos, 0.7155998963462037, 0, 136
dividir, 0.7149520601192019, 0, 136
centerright, 0.7148224928738015, 0, 136
winred, 0.7144337911376004, 0, 136
celebrities, 0.7138634259037365, 3, 167
27thjuly, 0.7135268204197979, 0, 135
pa12, 0.7111946100025913, 0, 133
httpggopcmwcsfhd, 0.7096398030577871, 0, 131
𝙏𝙧𝙪𝙢𝙥, 0.7092511013215859, 0, 130
𝘼, 0.7087328323399844, 0, 130
𝙈𝙚𝙢𝙗𝙚𝙧, 0.7086032650945842, 0, 130
kowtowed, 0.7084736978491837, 0, 130
𝙇𝙞𝙛𝙚, 0.708214563358383, 0, 130
swampy, 0.7079554288675822,     0, 130
snapchat, 0.7075667271313812, 0, 130
bots, 0.7070484581497798, 0, 129
600matched, 0.7054936512049754, 0, 128
𝙇𝙄𝙑𝙀, 0.7014770665975641, 0, 125
beneficie, 0.7009587976159627, 0, 124
implica, 0.7008292303705623, 0, 124
pappas, 0.700699663125162, 0, 124
ohalleran, 0.7005700958797616, 0, 124
cartwright, 0.7000518268981601, 0, 123
uncharted, 0.6993177339809769, 4, 279
sherrill, 0.6981083182171547, 0, 122
torres, 0.6975900492355532, 0, 122
mikie, 0.6972013474993521, 0, 122
xochitl, 0.6970717802539518, 0, 122
conferences, 0.6970428246879512, 5, 490
brindisi, 0.69642394402695, 0, 121
kendra, 0.6951282715729463, 0, 121
nonus, 0.6949987043275461, 0, 121
