term,rank difference, democrats frequency, republicans frequency
httpewarren9dbbf, -0.002415163558544764, 3, 0
httpewarrenca0db, -0.0024457352491592532, 3, 0
httpewarren433d4, -0.0024763069397737425, 3, 0
invitation, -0.0024820901307943954, 183, 189
httpewarrenw3ao, -0.0025068786303882318, 3, 0
want, -0.002509841525513894, 107233, 33622
win, -0.0025360322508757773, 230854, 43926
httpewarrend5081, -0.002537450321002721, 3, 0
httpewarrenc3864, -0.0025680220116172103, 3, 0
httpewarren21483, -0.0025985937022316996, 3, 0
httpewarren0br7, -0.002629165392846189, 3, 0
𝐬𝐞𝐯𝐞𝐧, -0.002659737083460678, 3, 0
sign, -0.0026728799792185387, 193805, 40617
httpewarrendb8d3, -0.0026903087740751674, 3, 0
httpewarrenx8li, -0.0027208804646896567, 3, 0
𝐜𝐡𝐢𝐥𝐝𝐫𝐞𝐧, -0.002751452155304146, 3, 0
6500, -0.0027519750191498105, 6, 6
httpewarren9saj, -0.0027820238459186353, 3, 0
httpewarren72ky, -0.0028125955365331246, 3, 0
33, -0.0028408143398420127, 385, 430
httpewarrensnvu, -0.002843167227147614, 3, 0
miss, -0.002844870495735924, 14289, 8444
httpewarrenf50bf, -0.002873738917762103, 3, 0
american, -0.0029014744681226945, 67401, 25874
𝐭𝐰𝐨𝐛𝐞𝐝𝐫𝐨𝐨𝐦, -0.0029043106083765924, 3, 0
hermanos, -0.002910577052345542, 53, 53
httpewarrenfhqh, -0.0029348822989910817, 3, 0
httpewarrenvx3r, -0.002965453989605571, 3, 0
httpewarrenb0f7b, -0.0029960256802201712, 3, 0
httpewarren2ibq, -0.0030265973708346605, 3, 0
httpewarrenchpa, -0.00305716906144915, 3, 0
silencing, -0.003079652206814193, 355, 380
httpewarrenuym9, -0.003087740752063639, 3, 0
critical, -0.003103846542947047, 50942, 22381
httpewarren4b329, -0.0031183124426781283, 3, 0
httpewarrenbw9h, -0.0031488841332926176, 3, 0
list, -0.0031592225775143676, 29594, 14815
httpewarren2413e, -0.003179455823907107, 3, 0
httpewarren0b308, -0.003210027514521596, 3, 0
httpewarren523e1, -0.0032405992051360855, 3, 0
httpewarren97688, -0.0032711708957505747, 3, 0
httpewarren97f30, -0.003301742586365064, 3, 0
